date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:56	116467/116467	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:43:47%20GMT	http://shtheme.net/demosd/cruise/?page_id=85	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexe735.html	(from http://shtheme.net/demosd/cruise/)
21:43:58	62642/62642	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer4.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/offer4.jpg	(from http://shtheme.net/demosd/cruise/)
21:44:05	78724/78724	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3-1.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3-1.jpg	(from http://shtheme.net/demosd/cruise/)
21:44:06	114011/114011	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:43:59%20GMT	http://shtheme.net/demosd/cruise/?page_id=83	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/index0405.html	(from http://shtheme.net/demosd/cruise/)
21:44:07	105308/105308	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer1-4.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer1-4.jpg	(from http://shtheme.net/demosd/cruise/)
21:44:10	78724/78724	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3-2.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3-2.jpg	(from http://shtheme.net/demosd/cruise/)
21:44:14	119702/119702	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:44:06%20GMT	http://shtheme.net/demosd/cruise/?hb_room=devlok-hotel	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexa920.html	(from http://shtheme.net/demosd/cruise/)
21:44:16	113082/113082	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202019%2014:44:10%20GMT	http://shtheme.net/demosd/cruise/?page_id=108	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexfdd8.html	(from http://shtheme.net/demosd/cruise/)
21:44:23	78724/78724	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/05/offer3.jpg	(from http://shtheme.net/demosd/cruise/)
21:44:24	119142/119142	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Dec%202018%2004:13:07%20GMT	http://shtheme.net/demosd/cruise/wp-content/uploads/2016/06/holiday-slide2.jpg	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/uploads/2016/06/holiday-slide2.jpg	(from http://shtheme.net/demosd/cruise/)
